Date,Time,Day of Week,Road Team,Home Team,Venue,Venue Capactiy,Notes,Attendance Rank,Published Attendance,Percent of Venue Cap,Running Total
1/4/2025,1:00 pm CST,Saturday,New York,Minnesota,Grand Casino Arena,17954,,48,6414,35.72%,135703
1/5/2025,1:00 pm PST,Sunday,Montréal,Boston,Climate Pledge Arena,17151,Takeover Tour Stop #1,8,12608,73.51%,148311
1/7/2025,7:00 pm EST,Tuesday,Ottawa,New York,Prudential Center,16514,,90,1569,9.50%,149880
1/8/2025,6:30 pm CST,Wednesday,Boston,Minnesota,Grand Casino Arena,17954,,71,4248,23.66%,154128
1/8/2025,7:00 pm PST,Wednesday,Montréal,Toronto,Rogers Arena,18910,Takeover Tour Stop #2,2,19038,100.68%,173166
1/11/2025,2:00 pm EST,Saturday,Boston,Ottawa,TD Place,8585,,32,8295,96.62%,181461
1/12/2025,1:00 pm MST,Sunday,Montréal,Minnesota,Ball Arena,17809,Takeover Tour Stop #3,7,14018,78.71%,195479
1/12/2025,12:00 pm EST,Sunday,Toronto,New York,Prudential Center,16514,,79,3258,19.73%,198737
1/14/2025,7:00 pm EST,Tuesday,Toronto,Ottawa,TD Place,8585,,45,6526,76.02%,205263
1/15/2025,7:00 pm EST,Wednesday,Minnesota,New York,Prudential Center,16514,,87,1780,10.78%,207043
1/17/2025,7:00 pm EST,Friday,Minnesota,Montréal,Place Bell,10062,,11,10172,101.09%,217215
1/19/2025,1:00 pm EST,Sunday,Ottawa,Montréal,Videotron Centre,18259,Takeover Tour Stop #4,3,18259,100.00%,235474
1/21/2025,6:00 pm CST,Tuesday,Ottawa,Minnesota,Grand Casino Arena,17954,,72,4165,23.20%,239639
1/22/2025,7:00 pm EST,Wednesday,Toronto,Boston,Tsongas Center,6500,,74,3951,60.78%,243590
1/25/2025,2:00 pm EST,Saturday,New York,Toronto,Scotiabank Arena,18800,NHL Rink (Toronto Maple Leafs),1,19102,101.61%,262692
1/26/2025,2:00 pm CST,Sunday,Boston,Minnesota,Grand Casino Arena,17954,,41,7838,43.66%,270530
1/27/2025,7:00 pm EST,Monday,New York,Ottawa,TD Place,8585,,59,5629,65.57%,276159
1/28/2025,6:00 pm CST,Tuesday,Toronto,Minnesota,Grand Casino Arena,17954,,69,4540,25.29%,280699
1/29/2025,7:00 pm EST,Wednesday,Ottawa,Montréal,Place Bell,10062,,50,6150,61.12%,286849
1/30/2025,7:00 pm EST,Thursday,Toronto,Montréal,Place Bell,10062,,43,7242,71.97%,294091
1/31/2025,7:00 pm EST,Friday,New York,Boston,Tsongas Center,6500,,55,5912,90.95%,300003
