"GP","Date","home_team","Opponent","GF","GA","...7","...8","W","L","OL","Streak","Att.","LOG","Time","...16","...17"
64,"3/9/25","NYR","Columbus Blue Jackets",3,7,"L",NA,31,27,6,"L 3",18006,02:26:00,NA,NA,NA
68,"3/16/25","NYR","Edmonton Oilers",1,3,"L",NA,33,29,6,"L 1",18006,02:22:00,NA,NA,NA
69,"3/18/25","NYR","Calgary Flames",1,2,"L",NA,33,30,6,"L 2",17591,02:36:00,NA,NA,NA
70,"3/20/25","NYR","Toronto Maple Leafs",3,4,"L",NA,33,31,6,"L 3",17235,02:28:00,NA,NA,NA
71,"3/22/25","NYR","Vancouver Canucks",5,3,"W",NA,34,31,6,"W 1",18006,02:34:00,NA,NA,NA
75,"4/2/25","NYR","Minnesota Wild",5,4,"W","OT",36,32,7,"W 2",17492,02:32:00,NA,NA,NA
77,"4/7/25","NYR","Tampa Bay Lightning",1,5,"L",NA,36,34,7,"L 2",17130,02:25:00,NA,NA,NA
78,"4/9/25","NYR","Philadelphia Flyers",5,8,"L",NA,36,35,7,"L 3",17530,02:34:00,NA,NA,NA
82,"4/17/25","NYR","Tampa Bay Lightning",4,0,"W",NA,39,36,7,"W 2",18006,02:20:00,NA,NA,NA
1,"10/7/25","NYR","Pittsburgh Penguins",0,3,NA,"L",0,1,0,"L 1",18006,02:16:00,20:00:00,NA,NA
2,"10/9/25","NYR","Buffalo Sabres",4,0,NA,"W",1,1,0,"W 1",19070,02:29:00,19:00:00,"@",NA
3,"10/11/25","NYR","Pittsburgh Penguins",6,1,NA,"W",2,1,0,"W 2",16716,02:26:00,19:00:00,"@",NA
4,"10/12/25","NYR","Washington Capitals",0,1,NA,"L",2,2,0,"L 1",17479,02:26:00,19:00:00,NA,NA
5,"10/14/25","NYR","Edmonton Oilers",0,2,NA,"L",2,3,0,"L 2",16497,02:19:00,19:00:00,NA,NA
6,"10/16/25","NYR","Toronto Maple Leafs",1,2,NA,"L",2,3,1,"L 3",18267,02:28:00,19:00:00,"@","OT"
7,"10/18/25","NYR","Montreal Canadiens",4,3,NA,"W",3,3,1,"W 1",20962,02:33:00,19:00:00,"@",NA
8,"10/20/25","NYR","Minnesota Wild",1,3,NA,"L",3,4,1,"L 1",18006,02:33:00,19:00:00,NA,NA
9,"10/23/25","NYR","San Jose Sharks",5,6,NA,"L",3,4,2,"L 2",18006,02:37:00,19:00:00,NA,"OT"
10,"10/26/25","NYR","Calgary Flames",1,5,NA,"L",3,5,2,"L 3",17196,02:23:00,20:00:00,"@",NA
11,"10/28/25","NYR","Vancouver Canucks",2,0,NA,"W",4,5,2,"W 1",18919,02:23:00,22:00:00,"@",NA
12,"10/30/25","NYR","Edmonton Oilers",4,3,NA,"W",5,5,2,"W 2",17787,02:32:00,21:00:00,"@","OT"
13,"11/1/25","NYR","Seattle Kraken",3,2,NA,"W",6,5,2,"W 3",17151,02:39:00,22:00:00,"@","OT"
14,"11/4/25","NYR","Carolina Hurricanes",0,3,NA,"L",6,6,2,"L 1",17147,02:27:00,19:00:00,NA,NA
15,"11/7/25","NYR","Detroit Red Wings",4,1,NA,"W",7,6,2,"W 1",19515,02:32:00,19:00:00,"@",NA
16,"11/8/25","NYR","New York Islanders",0,5,NA,"L",7,7,2,"L 1",18006,02:27:00,19:00:00,NA,NA
17,"11/10/25","NYR","Nashville Predators",6,3,NA,"W",8,7,2,"W 1",18006,02:31:00,19:00:00,NA,NA
18,"11/12/25","NYR","Tampa Bay Lightning",7,3,NA,"W",9,7,2,"W 2",19092,02:33:00,19:00:00,"@",NA
19,"11/15/25","NYR","Columbus Blue Jackets",2,1,NA,"W",10,7,2,"W 3",16298,02:48:00,19:00:00,"@","SO"
20,"11/16/25","NYR","Detroit Red Wings",1,2,NA,"L",10,8,2,"L 1",18006,02:29:00,19:00:00,NA,NA
21,"11/18/25","NYR","Vegas Golden Knights",2,3,NA,"L",10,9,2,"L 2",18008,02:29:00,22:00:00,"@",NA
22,"11/20/25","NYR","Colorado Avalanche",3,6,NA,"L",10,10,2,"L 3",18080,02:30:00,21:00:00,"@",NA
23,"11/22/25","NYR","Utah Mammoth",2,3,NA,"L",10,11,2,"L 4",12478,02:32:00,21:00:00,"@",NA
24,"11/24/25","NYR","St. Louis Blues",3,2,NA,"W",11,11,2,"W 1",18006,02:30:00,19:00:00,NA,NA
25,"11/26/25","NYR","Carolina Hurricanes",4,2,NA,"W",12,11,2,"W 2",18299,02:32:00,19:00:00,"@",NA
26,"11/28/25","NYR","Boston Bruins",6,2,NA,"W",13,11,2,"W 3",17850,02:29:00,13:00:00,"@",NA
27,"11/29/25","NYR","Tampa Bay Lightning",1,4,NA,"L",13,12,2,"L 1",18006,02:21:00,14:00:00,NA,NA
28,"12/2/25","NYR","Dallas Stars",3,2,NA,"W",14,12,2,"W 1",16950,02:36:00,19:00:00,NA,"OT"
29,"12/4/25","NYR","Ottawa Senators",4,2,NA,"W",15,12,2,"W 2",15533,02:27:00,19:00:00,"@",NA
30,"12/6/25","NYR","Colorado Avalanche",2,3,NA,"L",15,12,3,"L 1",17647,02:39:00,12:30:00,NA,"OT"
31,"12/7/25","NYR","Vegas Golden Knights",2,3,NA,"L",15,12,4,"L 2",17486,02:36:00,19:00:00,NA,"OT"
32,"12/10/25","NYR","Chicago Blackhawks",0,3,NA,"L",15,13,4,"L 3",19709,02:25:00,19:30:00,"@",NA
33,"12/13/25","NYR","Montreal Canadiens",5,4,NA,"W",16,13,4,"W 1",18006,02:35:00,19:00:00,NA,"OT"
34,"12/15/25","NYR","Anaheim Ducks",1,4,NA,"L",16,14,4,"L 1",18006,02:24:00,19:00:00,NA,NA
35,"12/16/25","NYR","Vancouver Canucks",0,3,NA,"L",16,15,4,"L 2",17452,02:23:00,19:00:00,NA,NA
36,"12/18/25","NYR","St. Louis Blues",2,1,NA,"W",17,15,4,"W 1",18096,02:36:00,20:00:00,"@","OT"
37,"12/20/25","NYR","Philadelphia Flyers",5,4,NA,"W",18,15,4,"W 2",18006,02:46:00,12:30:00,NA,"SO"
38,"12/21/25","NYR","Nashville Predators",1,2,NA,"L",18,16,4,"L 1",17159,02:26:00,19:00:00,"@",NA
39,"12/23/25","NYR","Washington Capitals",7,3,NA,"W",19,16,4,"W 1",18347,02:30:00,19:00:00,"@",NA
40,"12/27/25","NYR","New York Islanders",0,2,NA,"L",19,17,4,"L 1",17255,02:37:00,18:00:00,"@",NA
41,"12/29/25","NYR","Carolina Hurricanes",2,3,NA,"L",19,17,5,"L 2",18309,02:46:00,19:00:00,"@","OT"
42,"12/31/25","NYR","Washington Capitals",3,6,NA,"L",19,18,5,"L 3",18347,02:35:00,12:30:00,"@",NA
43,"1/2/26","NYR","Florida Panthers",5,1,NA,"W",20,18,5,"W 1",36153,02:40:00,20:00:00,"@",NA
44,"1/5/26","NYR","Utah Mammoth",2,3,NA,"L",20,18,6,"L 1",17503,02:37:00,19:00:00,NA,"OT"
45,"1/8/26","NYR","Buffalo Sabres",2,5,NA,"L",20,19,6,"L 2",18006,02:28:00,19:00:00,NA,NA
46,"1/10/26","NYR","Boston Bruins",2,10,NA,"L",20,20,6,"L 3",17850,02:45:00,13:00:00,"@",NA
47,"1/12/26","NYR","Seattle Kraken",2,4,NA,"L",20,21,6,"L 4",18006,02:19:00,19:00:00,NA,NA
48,"1/14/26","NYR","Ottawa Senators",4,8,NA,"L",20,22,6,"L 5",17776,02:25:00,19:30:00,NA,NA
49,"1/17/26","NYR","Philadelphia Flyers",6,3,NA,"W",21,22,6,"W 1",19669,02:33:00,13:00:00,"@",NA
50,"1/19/26","NYR","Anaheim Ducks",3,5,NA,"L",21,23,6,"L 1",16214,02:26:00,22:00:00,"@",NA
51,"1/20/26","NYR","Los Angeles Kings",3,4,NA,"L",21,24,6,"L 2",18145,02:43:00,22:00:00,"@",NA
52,"1/23/26","NYR","San Jose Sharks",1,3,NA,"L",21,25,6,"L 3",17435,02:24:00,22:00:00,"@",NA
53,"1/26/26","NYR","Boston Bruins",4,3,NA,"W",22,25,6,"W 1",17469,02:37:00,19:00:00,NA,"OT"
54,"1/28/26","NYR","New York Islanders",2,5,NA,"L",22,26,6,"L 1",17255,02:30:00,19:00:00,"@",NA
55,"1/29/26","NYR","New York Islanders",1,2,NA,"L",22,27,6,"L 2",18006,02:32:00,19:00:00,NA,NA
56,"1/31/26","NYR","Pittsburgh Penguins",5,6,NA,"L",22,28,6,"L 3",18370,02:38:00,15:30:00,"@",NA
57,"2/5/26","NYR","Carolina Hurricanes",0,2,NA,"L",22,29,6,"L 4",17288,02:21:00,19:00:00,NA,NA
58,"2/26/26","NYR","Philadelphia Flyers",2,3,NA,"L",22,29,7,"L 5",16867,02:35:00,20:00:00,NA,"OT"
59,"2/28/26","NYR","Pittsburgh Penguins",3,2,NA,"W",23,29,7,"W 1",17889,02:42:00,12:30:00,NA,"SO"
60,"3/2/26","NYR","Columbus Blue Jackets",4,5,NA,"L",23,29,8,"L 1",16790,02:38:00,19:00:00,NA,"OT"
61,"3/5/26","NYR","Toronto Maple Leafs",6,2,NA,"W",24,29,8,"W 1",17262,02:26:00,19:00:00,NA,NA
62,"3/7/26","NYR","New Jersey Devils",3,6,NA,"L",24,30,8,"L 1",16514,02:31:00,15:00:00,"@",NA
63,"3/9/26","NYR","Philadelphia Flyers",6,2,NA,"W",25,30,8,"W 1",19557,02:27:00,19:00:00,"@",NA
64,"3/10/26","NYR","Calgary Flames",4,0,NA,"W",26,30,8,"W 2",16669,02:23:00,19:00:00,NA,NA
65,"3/12/26","NYR","Winnipeg Jets",6,3,NA,"W",27,30,8,"W 3",13763,02:22:00,20:00:00,"@",NA
66,"3/14/26","NYR","Minnesota Wild",4,2,NA,"W",28,30,8,"W 4",18925,02:40:00,18:00:00,"@",NA
67,"3/16/26","NYR","Los Angeles Kings",1,4,NA,"L",28,31,8,"L 1",17752,02:21:00,19:00:00,NA,NA
68,"3/18/26","NYR","New Jersey Devils",3,6,NA,"L",28,32,8,"L 2",17307,02:30:00,19:00:00,NA,NA
69,"3/19/26","NYR","Columbus Blue Jackets",3,6,NA,"L",28,33,8,"L 3",15829,02:32:00,19:00:00,"@",NA
70,"3/22/26","NYR","Winnipeg Jets",2,3,NA,"L",28,33,9,"L 4",17349,02:47:00,12:00:00,NA,"SO"
71,"3/23/26","NYR","Ottawa Senators",1,2,NA,"L",28,34,9,"L 5",17204,02:23:00,19:30:00,NA,NA
72,"3/25/26","NYR","Toronto Maple Leafs",3,4,NA,"L",28,35,9,"L 6",18397,02:27:00,19:30:00,"@",NA
73,"3/27/26","NYR","Chicago Blackhawks",6,1,NA,"W",29,35,9,"W 1",18006,02:35:00,19:00:00,NA,NA
74,"3/29/26","NYR","Florida Panthers",3,1,NA,"W",30,35,9,"W 2",17244,02:28:00,13:00:00,NA,NA
75,"3/31/26","NYR","New Jersey Devils",4,1,NA,"W",31,35,9,"W 3",17422,02:31:00,19:00:00,NA,NA
76,"4/2/26","NYR","Montreal Canadiens",2,3,NA,"L",31,36,9,"L 1",17424,02:26:00,19:00:00,NA,NA
77,"4/4/26","NYR","Detroit Red Wings",4,1,NA,"W",32,36,9,"W 1",17292,02:35:00,12:30:00,NA,NA
78,"4/5/26","NYR","Washington Capitals",8,1,NA,"W",33,36,9,"W 2",17335,02:34:00,19:00:00,NA,NA
79,"4/8/26","NYR","Buffalo Sabres",3,5,NA,"L",33,37,9,"L 1",18006,02:27:00,19:00:00,NA,NA
80,"4/11/26","NYR","Dallas Stars",0,2,NA,"L",33,38,9,"L 2",18532,02:30:00,17:00:00,"@",NA
81,"4/13/26","NYR","Florida Panthers",2,3,NA,"L",33,39,9,"L 3",19707,02:19:00,19:00:00,"@",NA
82,"4/15/26","NYR","Tampa Bay Lightning",4,2,NA,"W",34,39,9,"W 1",19092,02:31:00,19:00:00,"@",NA
4,"10/17/23","SEA","Colorado Avalanche",1,4,"L",NA,0,3,1,"L 4",17151,02:35:00,NA,NA,NA
5,"10/19/23","SEA","Carolina Hurricanes",7,4,"W",NA,1,3,1,"W 1",17151,02:36:00,NA,NA,NA
6,"10/21/23","SEA","New York Rangers",1,4,"L",NA,1,4,1,"L 1",17151,02:38:00,NA,NA,NA
11,"11/2/23","SEA","Nashville Predators",4,2,"W",NA,4,5,2,"W 2",17151,02:24:00,NA,NA,NA
12,"11/4/23","SEA","Calgary Flames",3,6,"L",NA,4,6,2,"L 1",17151,02:19:00,NA,NA,NA
15,"11/11/23","SEA","Edmonton Oilers",1,4,"L",NA,5,7,3,"L 1",17151,02:31:00,NA,NA,NA
16,"11/13/23","SEA","Colorado Avalanche",1,5,"L",NA,5,8,3,"L 2",17151,02:37:00,NA,NA,NA
18,"11/16/23","SEA","New York Islanders",4,3,"W","SO",6,8,4,"W 1",17151,02:46:00,NA,NA,NA
20,"11/20/23","SEA","Calgary Flames",3,4,"L","OT",7,8,5,"L 1",17151,02:33:00,NA,NA,NA
21,"11/22/23","SEA","San Jose Sharks",7,1,"W",NA,8,8,5,"W 1",17151,02:25:00,NA,NA,NA
22,"11/24/23","SEA","Vancouver Canucks",1,5,"L",NA,8,9,5,"L 1",17151,02:31:00,NA,NA,NA
27,"12/7/23","SEA","New Jersey Devils",1,2,"L",NA,8,13,6,"L 6",17151,02:23:00,NA,NA,NA
28,"12/9/23","SEA","Tampa Bay Lightning",3,4,"L","OT",8,13,7,"L 7",17151,02:32:00,NA,NA,NA
29,"12/10/23","SEA","Minnesota Wild",0,3,"L",NA,8,14,7,"L 8",17151,02:29:00,NA,NA,NA
30,"12/12/23","SEA","Florida Panthers",4,0,"W",NA,9,14,7,"W 1",17151,02:28:00,NA,NA,NA
31,"12/14/23","SEA","Chicago Blackhawks",7,1,"W",NA,10,14,7,"W 2",17151,02:19:00,NA,NA,NA
32,"12/16/23","SEA","Los Angeles Kings",2,3,"L","SO",10,14,8,"L 1",17151,02:42:00,NA,NA,NA
37,"12/29/23","SEA","Philadelphia Flyers",2,1,"W","OT",14,14,9,"W 4",17151,02:26:00,NA,NA,NA
38,"1/1/24","SEA","Vegas Golden Knights",3,0,"W",NA,15,14,9,"W 5",47313,02:35:00,NA,NA,NA
39,"1/4/24","SEA","Ottawa Senators",4,1,"W",NA,16,14,9,"W 6",17151,02:20:00,NA,NA,NA
46,"1/21/24","SEA","Toronto Maple Leafs",1,3,"L",NA,19,18,9,"L 4",17151,02:24:00,NA,NA,NA
47,"1/24/24","SEA","Chicago Blackhawks",6,2,"W",NA,20,18,9,"W 1",17151,02:29:00,NA,NA,NA
48,"1/26/24","SEA","St. Louis Blues",3,4,"L","OT",20,18,10,"L 1",17151,02:27:00,NA,NA,NA
49,"1/28/24","SEA","Columbus Blue Jackets",4,2,"W",NA,21,18,10,"W 1",17151,02:28:00,NA,NA,NA
55,"2/19/24","SEA","Detroit Red Wings",3,4,"L","OT",23,21,11,"L 1",17151,02:29:00,NA,NA,NA
56,"2/22/24","SEA","Vancouver Canucks",5,2,"W",NA,24,21,11,"W 1",17151,02:27:00,NA,NA,NA
57,"2/24/24","SEA","Minnesota Wild",2,5,"L",NA,24,22,11,"L 1",17151,02:36:00,NA,NA,NA
58,"2/26/24","SEA","Boston Bruins",4,3,"W","SO",25,22,11,"W 1",17151,02:47:00,NA,NA,NA
59,"2/29/24","SEA","Pittsburgh Penguins",2,0,"W",NA,26,22,11,"W 2",17151,02:22:00,NA,NA,NA
60,"3/2/24","SEA","Edmonton Oilers",1,2,"L",NA,26,23,11,"L 1",17151,02:21:00,NA,NA,NA
63,"3/8/24","SEA","Winnipeg Jets",0,3,"L",NA,28,24,11,"L 1",17151,02:17:00,NA,NA,NA
64,"3/12/24","SEA","Vegas Golden Knights",4,5,"L","OT",28,24,12,"L 2",17151,02:30:00,NA,NA,NA
65,"3/14/24","SEA","Washington Capitals",1,2,"L",NA,28,25,12,"L 3",17151,02:24:00,NA,NA,NA
66,"3/16/24","SEA","Nashville Predators",1,4,"L",NA,28,26,12,"L 4",17151,02:24:00,NA,NA,NA
67,"3/18/24","SEA","Buffalo Sabres",2,6,"L",NA,28,27,12,"L 5",17151,02:20:00,NA,NA,NA
70,"3/24/24","SEA","Montreal Canadiens",1,5,"L",NA,28,29,13,"L 8",17151,02:25:00,NA,NA,NA
71,"3/26/24","SEA","Anaheim Ducks",4,0,"W",NA,29,29,13,"W 1",17151,02:20:00,NA,NA,NA
72,"3/28/24","SEA","Anaheim Ducks",4,2,"W",NA,30,29,13,"W 2",17151,02:30:00,NA,NA,NA
73,"3/30/24","SEA","Dallas Stars",0,3,"L",NA,30,30,13,"L 1",17151,02:27:00,NA,NA,NA
77,"4/9/24","SEA","Arizona Coyotes",5,0,"W",NA,33,31,13,"W 2",17151,02:26:00,NA,NA,NA
78,"4/11/24","SEA","San Jose Sharks",1,3,"L",NA,33,32,13,"L 1",17151,02:25:00,NA,NA,NA
1,"10/8/24","SEA","St. Louis Blues",2,3,"L",NA,0,1,0,"L 1",17151,02:37:00,NA,NA,NA
5,"10/17/24","SEA","Philadelphia Flyers",6,4,"W",NA,3,2,0,"W 2",17151,02:31:00,NA,NA,NA
6,"10/19/24","SEA","Calgary Flames",2,1,"W","OT",4,2,0,"W 3",17151,02:33:00,NA,NA,NA
7,"10/22/24","SEA","Colorado Avalanche",2,3,"L",NA,4,3,0,"L 1",17151,02:24:00,NA,NA,NA
8,"10/24/24","SEA","Winnipeg Jets",3,4,"L","OT",4,3,1,"L 2",17151,02:38:00,NA,NA,NA
9,"10/26/24","SEA","Carolina Hurricanes",1,4,"L",NA,4,4,1,"L 3",17151,02:28:00,NA,NA,NA
15,"11/8/24","SEA","Vegas Golden Knights",4,3,"W","OT",6,8,1,"W 1",17151,02:28:00,NA,NA,NA
16,"11/12/24","SEA","Columbus Blue Jackets",5,2,"W",NA,7,8,1,"W 2",17151,02:24:00,NA,NA,NA
17,"11/14/24","SEA","Chicago Blackhawks",3,1,"W",NA,8,8,1,"W 3",17151,02:26:00,NA,NA,NA
18,"11/16/24","SEA","New York Islanders",3,2,"W",NA,9,8,1,"W 4",17151,02:29:00,NA,NA,NA
19,"11/17/24","SEA","New York Rangers",0,2,"L",NA,9,9,1,"L 1",17151,02:17:00,NA,NA,NA
20,"11/20/24","SEA","Nashville Predators",3,0,"W",NA,10,9,1,"W 1",17151,02:31:00,NA,NA,NA
23,"11/27/24","SEA","Anaheim Ducks",2,5,"L",NA,11,11,1,"L 1",17151,02:37:00,NA,NA,NA
25,"11/30/24","SEA","San Jose Sharks",2,4,"L",NA,11,13,1,"L 3",17151,02:30:00,NA,NA,NA
30,"12/10/24","SEA","Florida Panthers",1,2,"L","SO",14,14,2,"L 1",17151,02:38:00,NA,NA,NA
31,"12/12/24","SEA","Boston Bruins",5,1,"W",NA,15,14,2,"W 1",17151,02:24:00,NA,NA,NA
32,"12/14/24","SEA","Tampa Bay Lightning",1,5,"L",NA,15,15,2,"L 1",17151,02:26:00,NA,NA,NA
33,"12/17/24","SEA","Ottawa Senators",0,3,"L",NA,15,16,2,"L 2",17151,02:23:00,NA,NA,NA
38,"12/30/24","SEA","Utah Hockey Club",5,2,"W",NA,17,19,2,"W 2",17151,02:36:00,NA,NA,NA
39,"1/2/25","SEA","Vancouver Canucks",3,4,"L","SO",17,19,3,"L 1",17151,02:40:00,NA,NA,NA
40,"1/4/25","SEA","Edmonton Oilers",2,4,"L",NA,17,20,3,"L 2",17151,02:26:00,NA,NA,NA
41,"1/6/25","SEA","New Jersey Devils",2,3,"L",NA,17,21,3,"L 3",17151,02:30:00,NA,NA,NA
47,"1/18/25","SEA","Los Angeles Kings",4,2,"W",NA,20,24,3,"W 1",17151,02:24:00,NA,NA,NA
48,"1/20/25","SEA","Buffalo Sabres",6,4,"W",NA,21,24,3,"W 2",17151,02:23:00,NA,NA,NA
49,"1/23/25","SEA","Washington Capitals",0,3,"L",NA,21,25,3,"L 1",17151,02:28:00,NA,NA,NA
50,"1/25/25","SEA","Pittsburgh Penguins",4,1,"W",NA,22,25,3,"W 1",17151,02:18:00,NA,NA,NA
52,"1/28/25","SEA","Anaheim Ducks",4,6,"L",NA,22,27,3,"L 2",17151,02:28:00,NA,NA,NA
53,"1/30/25","SEA","San Jose Sharks",6,2,"W",NA,23,27,3,"W 1",17151,02:27:00,NA,NA,NA
54,"2/2/25","SEA","Calgary Flames",2,3,"L",NA,23,28,3,"L 1",17151,02:45:00,NA,NA,NA
55,"2/4/25","SEA","Detroit Red Wings",4,5,"L","SO",23,28,4,"L 2",17151,02:41:00,NA,NA,NA
56,"2/6/25","SEA","Toronto Maple Leafs",1,3,"L",NA,23,29,4,"L 3",17151,02:36:00,NA,NA,NA
61,"3/1/25","SEA","Vancouver Canucks",6,3,"W",NA,26,31,4,"W 1",17151,02:25:00,NA,NA,NA
62,"3/4/25","SEA","Minnesota Wild",3,4,"L",NA,26,32,4,"L 1",17151,02:46:00,NA,NA,NA
66,"3/12/25","SEA","Montreal Canadiens",5,4,"W","OT",28,34,4,"W 1",17151,02:33:00,NA,NA,NA
67,"3/14/25","SEA","Utah Hockey Club",4,2,"W",NA,29,34,4,"W 2",17151,02:30:00,NA,NA,NA
68,"3/16/25","SEA","Winnipeg Jets",2,3,"L","OT",29,34,5,"L 1",17151,02:31:00,NA,NA,NA
73,"3/27/25","SEA","Edmonton Oilers",6,1,"W",NA,31,36,6,"W 1",17151,02:37:00,NA,NA,NA
74,"3/29/25","SEA","Dallas Stars",1,5,"L",NA,31,37,6,"L 1",17151,02:38:00,NA,NA,NA
75,"3/31/25","SEA","Dallas Stars",1,3,"L",NA,31,38,6,"L 2",17151,02:32:00,NA,NA,NA
81,"4/12/25","SEA","St. Louis Blues",4,3,"W","SO",35,40,6,"W 1",17151,02:42:00,NA,NA,NA
82,"4/15/25","SEA","Los Angeles Kings",5,6,"L",NA,35,41,6,"L 1",17151,02:33:00,NA,NA,NA
1,"10/9/25","SEA","Anaheim Ducks",3,1,NA,"W",1,0,0,"W 1",17151,02:36:00,22:00:00,NA,NA
2,"10/11/25","SEA","Vegas Golden Knights",2,1,NA,"W",2,0,0,"W 2",17151,02:41:00,22:00:00,NA,"OT"
3,"10/14/25","SEA","Montreal Canadiens",4,5,NA,"L",2,0,1,"L 1",20962,02:39:00,19:00:00,"@","OT"
4,"10/16/25","SEA","Ottawa Senators",3,4,NA,"L",2,0,2,"L 2",15736,02:38:00,19:00:00,"@","SO"
5,"10/18/25","SEA","Toronto Maple Leafs",4,3,NA,"W",3,0,2,"W 1",18589,02:37:00,19:00:00,"@","OT"
6,"10/20/25","SEA","Philadelphia Flyers",2,5,NA,"L",3,1,2,"L 1",16099,02:35:00,19:00:00,"@",NA
7,"10/21/25","SEA","Washington Capitals",1,4,NA,"L",3,2,2,"L 2",16578,02:26:00,19:00:00,"@",NA
8,"10/23/25","SEA","Winnipeg Jets",3,0,NA,"W",4,2,2,"W 1",13690,02:29:00,20:00:00,"@",NA
9,"10/25/25","SEA","Edmonton Oilers",3,2,NA,"W",5,2,2,"W 2",17151,02:28:00,22:00:00,NA,NA
10,"10/28/25","SEA","Montreal Canadiens",3,4,NA,"L",5,2,3,"L 1",17151,02:27:00,22:30:00,NA,"OT"
11,"11/1/25","SEA","New York Rangers",2,3,NA,"L",5,2,4,"L 2",17151,02:39:00,22:00:00,NA,"OT"
12,"11/3/25","SEA","Chicago Blackhawks",3,1,NA,"W",6,2,4,"W 1",17151,02:26:00,22:00:00,NA,NA
13,"11/5/25","SEA","San Jose Sharks",1,6,NA,"L",6,3,4,"L 1",17151,02:20:00,22:00:00,NA,NA
14,"11/8/25","SEA","St. Louis Blues",4,3,NA,"W",7,3,4,"W 1",18096,02:33:00,19:00:00,"@","OT"
15,"11/9/25","SEA","Dallas Stars",1,2,NA,"L",7,4,4,"L 1",18532,02:22:00,19:00:00,"@",NA
16,"11/11/25","SEA","Columbus Blue Jackets",1,2,NA,"L",7,4,5,"L 2",17151,02:46:00,22:00:00,NA,"SO"
17,"11/13/25","SEA","Winnipeg Jets",5,3,NA,"W",8,4,5,"W 1",17151,02:32:00,22:00:00,NA,NA
18,"11/15/25","SEA","San Jose Sharks",4,1,NA,"W",9,4,5,"W 2",17151,02:29:00,22:00:00,NA,NA
19,"11/18/25","SEA","Detroit Red Wings",2,4,NA,"L",9,5,5,"L 1",19515,02:37:00,19:00:00,"@",NA
20,"11/20/25","SEA","Chicago Blackhawks",3,2,NA,"W",10,5,5,"W 1",18170,02:24:00,20:00:00,"@",NA
21,"11/22/25","SEA","Pittsburgh Penguins",3,2,NA,"W",11,5,5,"W 2",17783,02:29:00,19:00:00,"@","OT"
22,"11/23/25","SEA","New York Islanders",0,1,NA,"L",11,5,6,"L 1",17255,02:35:00,17:00:00,"@","SO"
23,"11/26/25","SEA","Dallas Stars",2,3,NA,"L",11,6,6,"L 2",17151,02:24:00,22:00:00,NA,NA
24,"11/29/25","SEA","Edmonton Oilers",0,4,NA,"L",11,7,6,"L 3",17151,02:30:00,16:00:00,NA,NA
25,"12/4/25","SEA","Edmonton Oilers",4,9,NA,"L",11,8,6,"L 4",17496,02:31:00,21:00:00,"@",NA
26,"12/6/25","SEA","Detroit Red Wings",3,4,NA,"L",11,9,6,"L 5",17151,02:34:00,22:00:00,NA,NA
27,"12/8/25","SEA","Minnesota Wild",1,4,NA,"L",11,10,6,"L 6",17151,02:28:00,22:00:00,NA,NA
28,"12/10/25","SEA","Los Angeles Kings",3,2,NA,"W",12,10,6,"W 1",17151,02:39:00,22:00:00,NA,"OT"
29,"12/12/25","SEA","Utah Mammoth",3,5,NA,"L",12,11,6,"L 1",12478,02:39:00,21:00:00,"@",NA
30,"12/14/25","SEA","Buffalo Sabres",1,3,NA,"L",12,12,6,"L 2",17151,02:19:00,20:00:00,NA,NA
31,"12/16/25","SEA","Colorado Avalanche",3,5,NA,"L",12,13,6,"L 3",17151,02:41:00,22:00:00,NA,NA
32,"12/18/25","SEA","Calgary Flames",2,4,NA,"L",12,14,6,"L 4",17449,02:30:00,21:00:00,"@",NA
33,"12/20/25","SEA","San Jose Sharks",4,2,NA,"W",13,14,6,"W 1",17435,02:24:00,22:00:00,"@",NA
34,"12/22/25","SEA","Anaheim Ducks",3,1,NA,"W",14,14,6,"W 2",16214,02:36:00,22:00:00,"@",NA
35,"12/23/25","SEA","Los Angeles Kings",3,2,NA,"W",15,14,6,"W 3",18143,02:33:00,22:00:00,"@",NA
36,"12/28/25","SEA","Philadelphia Flyers",4,1,NA,"W",16,14,6,"W 4",17151,02:22:00,20:00:00,NA,NA
37,"12/29/25","SEA","Vancouver Canucks",2,3,NA,"L",16,14,7,"L 1",17151,02:46:00,22:00:00,NA,"SO"
38,"1/1/26","SEA","Nashville Predators",4,1,NA,"W",17,14,7,"W 1",17151,02:17:00,22:00:00,NA,NA
39,"1/2/26","SEA","Vancouver Canucks",4,3,NA,"W",18,14,7,"W 2",18724,02:38:00,22:30:00,"@","SO"
40,"1/5/26","SEA","Calgary Flames",5,1,NA,"W",19,14,7,"W 3",16510,02:25:00,21:30:00,"@",NA
41,"1/6/26","SEA","Boston Bruins",7,4,NA,"W",20,14,7,"W 4",17151,02:36:00,22:00:00,NA,NA
42,"1/8/26","SEA","Minnesota Wild",2,3,NA,"L",20,14,8,"L 1",17151,02:29:00,22:00:00,NA,"OT"
43,"1/10/26","SEA","Carolina Hurricanes",2,3,NA,"L",20,15,8,"L 2",18310,02:24:00,19:00:00,"@",NA
44,"1/12/26","SEA","New York Rangers",4,2,NA,"W",21,15,8,"W 1",18006,02:19:00,19:00:00,"@",NA
45,"1/14/26","SEA","New Jersey Devils",2,3,NA,"L",21,15,9,"L 1",16027,02:24:00,19:00:00,"@","OT"
